"id","System","age","sex","occupation","income","region","Taxi_frequency","Taxi_aim","RS_experience","Price","Safety","Dispatch","License","Service","Time","choice"
"1","Windows ","30s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of Less than 100K","Several times a year","Moving for work","No","¥1200","1%","App","No","No","10 min",1
"3","Android ","30s","Male","Self-employed","¥3M or more and less than ¥4M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1200","1%","Phone","No","Yes","7 min",1
"4","Windows ","30s","Female","Full-time employee (mainly private companies)","¥6M or more and less than ¥7M","Population of 500K or more","Several times a month","Shopping","Yes","¥1500","3%","App","Yes","Yes","7 min",0
"5","Windows ","40s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of 500K or more","Do not use","Do not use","No","¥1500","1%","Phone","Yes","No","7 min",1
"6","Windows ","60s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1200","1%","Phone","Yes","No","10 min",1
"7","Android ","40s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of Less than 100K","Do not use","Do not use","No","¥1500","1%","Phone","No","Yes","7 min",0
"9","iPhone","20s","Female","Student","¥1M or more and less than ¥2M","Population of 500K or more","About once a week","Visit to hospital","No","¥1500","1%","App","No","No","7 min",1
"10","Android ","40s","Male","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 100K or more and less than 500K","Several times a month","Moving for work","Yes","¥1200","3%","Phone","No","Yes","10 min",1
"11","Windows ","40s","Female","Full-time housewife (husband)","Less than ¥1M","Population of Less than 100K","Do not use","Do not use","No","¥1500","1%","Phone","No","No","7 min",0
"12","iPhone","30s","Female","Full-time housewife (husband)","Prefer not to answer","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","3%","Phone","Yes","Yes","7 min",0
"16","Windows ","40s","Female","Part-time job","¥1M or more and less than ¥2M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","1%","Phone","Yes","Yes","7 min",1
"20","Android ","40s","Male","Part-time job","Prefer not to answer","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","1%","App","No","Yes","10 min",0
"21","iPhone","20s","Male","Full-time employee (mainly private companies)","¥1M or more and less than ¥2M","Population of Less than 100K","Several times a year","Shopping","No","¥1500","1%","Phone","Yes","No","7 min",0
"25","Android ","50s","Male","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 500K or more","Do not use","Do not use","No","¥1200","3%","Phone","No","Yes","10 min",0
"27","iPhone","20s","Female","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of Less than 100K","Do not use","Do not use","No","¥1200","3%","Phone","Yes","Yes","10 min",1
"29","iPhone","40s","Female","Full-time housewife (husband)","Less than ¥1M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","3%","Phone","No","No","7 min",0
"31","Windows ","30s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of 100K or more and less than 500K","Several times a year","Moving for work","No","¥1500","1%","App","No","No","7 min",0
"32","Android ","30s","Male","Unemployed (including after retirement)","¥1M or more and less than ¥2M","Population of 500K or more","Do not use","Do not use","No","¥1500","1%","Phone","Yes","Yes","10 min",1
"33","Windows ","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Do not use","Do not use","No","¥1200","3%","App","No","Yes","7 min",0
"36","Android ","30s","Female","Part-time job","Prefer not to answer","Population of 500K or more","Do not use","Do not use","No","¥1200","1%","App","Yes","Yes","10 min",1
"37","Windows ","40s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of 500K or more","Do not use","Do not use","No","¥1200","1%","App","Yes","Yes","10 min",1
"40","Windows ","60s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of Less than 100K","Do not use","Do not use","No","¥1500","3%","Phone","Yes","Yes","7 min",0
"41","Windows ","30s","Male","Self-employed","¥3M or more and less than ¥4M","Population of 500K or more","Several times a year","Moving for work","No","¥1200","1%","App","No","No","7 min",1
"43","Windows ","50s","Male","Full-time employee (mainly private companies)","¥4M or more and less than ¥5M","Population of Less than 100K","Several times a year","Leisure","No","¥1200","3%","App","Yes","Yes","10 min",1
"45","Windows ","40s","Male","Self-employed","¥3M or more and less than ¥4M","Population of 500K or more","Several times a month","Shopping","No","¥1200","3%","Phone","No","No","7 min",0
"46","Android ","40s","Male","Full-time employee (mainly private companies)","¥4M or more and less than ¥5M","Population of 500K or more","Several times a month","Moving for work","No","¥1200","3%","Phone","Yes","No","10 min",0
"48","Windows ","40s","Male","Temporary staff","¥3M or more and less than ¥4M","Population of 500K or more","Several times a year","Visit to hospital","No","¥1200","3%","App","No","Yes","10 min",1
"49","iPhone","40s","Male","Full-time employee (mainly private companies)","Prefer not to answer","Population of 500K or more","Do not use","Do not use","No","¥1500","3%","App","No","No","7 min",0
"50","Windows ","40s","Male","Temporary staff","¥4M or more and less than ¥5M","Population of 500K or more","Do not use","Do not use","No","¥1200","1%","App","No","No","10 min",1
"52","Windows ","40s","Female","Full-time employee (mainly private companies)","Less than ¥1M","Population of Less than 100K","Several times a year","Leisure","No","¥1200","1%","App","Yes","No","7 min",0
"53","Android ","40s","Male","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of 500K or more","Do not use","Do not use","No","¥1500","3%","App","No","Yes","7 min",0
"54","iPhone","50s","Female","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 500K or more","Several times a year","Leisure","No","¥1200","1%","App","Yes","Yes","10 min",1
"55","iPhone","30s","Female","Full-time employee (mainly private companies)","Prefer not to answer","Population of 500K or more","Several times a year","Leisure","No","¥1500","3%","App","Yes","Yes","10 min",1
"56","Android ","40s","Male","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of 500K or more","Several times a year","Moving for work","No","¥1500","1%","Phone","Yes","Yes","7 min",0
"57","Windows ","40s","Male","Full-time housewife (husband)","Less than ¥1M","Population of Less than 100K","Do not use","Do not use","No","¥1200","3%","Phone","Yes","Yes","10 min",1
"58","iPhone","50s","Female","Part-time job","¥1M or more and less than ¥2M","Population of Less than 100K","Do not use","Do not use","No","¥1500","3%","Phone","Yes","Yes","7 min",1
"60","iPhone","50s","Male","Full-time employee (mainly private companies)","¥10M or more","Population of 500K or more","Do not use","Do not use","No","¥1200","1%","Phone","Yes","Yes","10 min",1
"62","Macintosh","40s","Male","Self-employed","¥2M or more and less than ¥3M","Population of 500K or more","Do not use","Do not use","No","¥1200","1%","Phone","Yes","No","7 min",1
"64","iPhone","20s","Male","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","1%","Phone","No","Yes","7 min",0
"65","Windows ","60s","Male","Full-time employee (mainly private companies)","¥9M or more and less than ¥10M","Population of 500K or more","About once a week","Visit to hospital","No","¥1200","3%","Phone","No","No","7 min",0
"67","Android ","40s","Male","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 500K or more","Several times a year","Leisure","No","¥1200","1%","Phone","Yes","No","10 min",1
"68","Windows ","60s","Male","Public servant","¥2M or more and less than ¥3M","Population of Less than 100K","Do not use","Do not use","No","¥1500","1%","Phone","Yes","Yes","7 min",0
