"id","System","age","sex","occupation","income","region","Taxi_frequency","Taxi_aim","RS_experience","Price","Safety","Dispatch","License","Service","Time","choice"
"2","iPad","30s","Female","Part-time job","¥1M or more and less than ¥2M","Population of 500K or more","Do not use","Do not use","No","¥1500","3%","App","Yes","Yes","7 min",0
"8","Android ","30s","Female","Part-time job","Less than ¥1M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","1%","Phone","No","No","7 min",0
"13","Android ","50s","Male","Full-time employee (mainly private companies)","¥7M or more and less than ¥8M","Population of Less than 100K","Do not use","Do not use","No","¥1200","1%","Phone","No","Yes","7 min",0
"14","Android ","30s","Female","Part-time job","¥1M or more and less than ¥2M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1200","1%","Phone","Yes","Yes","7 min",1
"15","Windows ","40s","Male","Full-time employee (mainly private companies)","¥4M or more and less than ¥5M","Population of 500K or more","Several times a year","Moving for work","No","¥1500","3%","Phone","No","No","10 min",0
"17","Android ","50s","Male","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1200","1%","App","Yes","Yes","7 min",0
"18","Android ","30s","Female","Part-time job","Less than ¥1M","Population of 500K or more","Several times a year","Visit to hospital","No","¥1200","3%","Phone","No","Yes","7 min",0
"19","Android ","40s","Male","Full-time employee (mainly private companies)","¥6M or more and less than ¥7M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1200","1%","App","Yes","Yes","10 min",1
"22","iPhone","30s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of Less than 100K","Several times a year","Visit to hospital","No","¥1500","1%","Phone","Yes","No","10 min",0
"23","iPhone","40s","Male","Full-time employee (mainly private companies)","¥7M or more and less than ¥8M","Population of 500K or more","Several times a month","Moving for work","No","¥1500","1%","App","No","Yes","10 min",1
"24","iPhone","30s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of 100K or more and less than 500K","Several times a year","Moving for work","No","¥1500","1%","App","Yes","No","7 min",1
"26","Windows ","40s","Male","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1200","1%","Phone","No","Yes","10 min",1
"28","Macintosh","40s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of 500K or more","Several times a month","Shopping","No","¥1200","3%","Phone","Yes","Yes","10 min",0
"30","Windows ","50s","Male","Temporary staff","Prefer not to answer","Population of 500K or more","Do not use","Do not use","No","¥1500","1%","App","Yes","No","7 min",1
"34","Android ","40s","Female","Full-time employee (mainly private companies)","¥2M or more and less than ¥3M","Population of Less than 100K","Do not use","Do not use","No","¥1500","3%","Phone","No","Yes","7 min",0
"35","Windows ","40s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","3%","Phone","No","No","10 min",0
"38","Windows ","60s","Male","Unemployed (including after retirement)","¥2M or more and less than ¥3M","Population of 500K or more","Do not use","Do not use","No","¥1200","3%","App","No","No","7 min",1
"39","Android ","40s","Female","Part-time job","Less than ¥1M","Population of 100K or more and less than 500K","Several times a year","Other","No","¥1500","1%","App","Yes","No","10 min",0
"42","Windows ","40s","Female","Unemployed (including after retirement)","Less than ¥1M","Population of 500K or more","Do not use","Do not use","No","¥1200","3%","Phone","No","Yes","10 min",1
"44","Windows ","50s","Female","Full-time housewife (husband)","¥4M or more and less than ¥5M","Population of Less than 100K","Do not use","Do not use","No","¥1200","3%","Phone","Yes","Yes","7 min",1
"47","Windows ","40s","Male","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 500K or more","Do not use","Do not use","No","¥1200","1%","Phone","Yes","No","10 min",1
"51","Android ","50s","Female","Full-time housewife (husband)","Less than ¥1M","Population of 500K or more","Several times a year","Visit to hospital","No","¥1200","1%","Phone","Yes","Yes","10 min",1
"59","Android ","40s","Male","Full-time employee (mainly private companies)","¥5M or more and less than ¥6M","Population of Less than 100K","Several times a year","Visit to hospital","No","¥1200","1%","App","No","Yes","7 min",1
"61","iPad","40s","Male","Part-time job","Less than ¥1M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","3%","Phone","Yes","Yes","7 min",0
"63","Macintosh","40s","Female","Temporary staff","¥2M or more and less than ¥3M","Population of 100K or more and less than 500K","Several times a year","Other","No","¥1200","3%","Phone","Yes","No","7 min",1
"66","Windows ","50s","Male","Self-employed","¥5M or more and less than ¥6M","Population of 500K or more","Several times a year","Moving for work","No","¥1200","3%","Phone","Yes","No","7 min",1
"69","Android ","10s","Female","Student","Less than ¥1M","Population of 100K or more and less than 500K","Several times a year","Leisure","No","¥1200","1%","Phone","Yes","No","10 min",1
"71","Windows ","50s","Female","Full-time housewife (husband)","Less than ¥1M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1200","3%","Phone","No","No","7 min",0
"72","Windows ","50s","Male","Unemployed (including after retirement)","Less than ¥1M","Population of 100K or more and less than 500K","Several times a year","Leisure","No","¥1200","1%","App","Yes","No","10 min",1
"73","Windows ","30s","Female","Part-time job","Prefer not to answer","Population of 500K or more","Do not use","Do not use","No","¥1500","3%","App","Yes","No","10 min",0
"74","Android ","50s","Female","Unemployed (including after retirement)","Less than ¥1M","Population of 100K or more and less than 500K","Do not use","Do not use","No","¥1500","1%","Phone","No","Yes","10 min",1
"75","Android ","20s","Female","Full-time employee (mainly private companies)","¥3M or more and less than ¥4M","Population of 100K or more and less than 500K","Several times a month","Leisure","No","¥1500","3%","App","Yes","Yes","7 min",1
"79","Macintosh","30s","Male","Full-time employee (mainly private companies)","¥6M or more and less than ¥7M","Population of 500K or more","Do not use","Do not use","No","¥1500","3%","App","Yes","No","7 min",1
"80","Android ","40s","Male","Prefer not to answer","Prefer not to answer","Population of 500K or more","Several times a year","Shopping","Prefer not to answer","¥1200","1%","Phone","Yes","No","10 min",1
"81","iPhone","40s","Male","Self-employed","¥1M or more and less than ¥2M","Population of 500K or more","Do not use","Do not use","No","¥1200","3%","Phone","No","No","10 min",0
