period,pop_female,pop_male,pop_total
1971/01/01,17398898,16641744,34040642
1971/02/01,17398898,16641744,34040642
1971/03/01,17398898,16641744,34040642
1971/04/01,17485953,16730904,34216856
1971/05/01,17485953,16730904,34216856
1971/06/01,17485953,16730904,34216856
1971/07/01,17485953,16730904,34216856
1971/08/01,17485953,16730904,34216856
1971/09/01,17485953,16730904,34216856
1971/10/01,17580397,16827942,34408338
1971/11/01,17580397,16827942,34408338
1971/12/01,17580397,16827942,34408338
1972/01/01,17580397,16827942,34408338
1972/02/01,17580397,16827942,34408338
1972/03/01,17580397,16827942,34408338
1972/04/01,17672353,16923533,34595886
1972/05/01,17672353,16923533,34595886
1972/06/01,17672353,16923533,34595886
1972/07/01,17672353,16923533,34595886
1972/08/01,17672353,16923533,34595886
1972/09/01,17672353,16923533,34595886
1972/10/01,17772628,17027972,34800600
1972/11/01,17772628,17027972,34800600
1972/12/01,17772628,17027972,34800600
1973/01/01,17772628,17027972,34800600
1973/02/01,17772628,17027972,34800600
1973/03/01,17772628,17027972,34800600
1973/04/01,17860714,17119603,34980317
1973/05/01,17860714,17119603,34980317
1973/06/01,17860714,17119603,34980317
1973/07/01,17860714,17119603,34980317
1973/08/01,17860714,17119603,34980317
1973/09/01,17860714,17119603,34980317
1973/10/01,17957230,17220063,35177294
1973/11/01,17957230,17220063,35177294
1973/12/01,17957230,17220063,35177294
1974/01/01,17957230,17220063,35177294
1974/02/01,17957230,17220063,35177294
1974/03/01,17957230,17220063,35177294
1974/04/01,18048997,17314892,35363890
1974/05/01,18048997,17314892,35363890
1974/06/01,18048997,17314892,35363890
1974/07/01,18048997,17314892,35363890
1974/08/01,18048997,17314892,35363890
1974/09/01,18048997,17314892,35363890
1974/10/01,18150004,17419371,35569375
1974/11/01,18150004,17419371,35569375
1974/12/01,18150004,17419371,35569375
1975/01/01,18150004,17419371,35569375
1975/02/01,18150004,17419371,35569375
1975/03/01,18150004,17419371,35569375
1975/04/01,18237105,17512929,35750033
1975/05/01,18237105,17512929,35750033
1975/06/01,18237105,17512929,35750033
1975/07/01,18237105,17512929,35750033
1975/08/01,18237105,17512929,35750033
1975/09/01,18237105,17512929,35750033
1975/10/01,18333864,17612561,35946425
1975/11/01,18333864,17612561,35946425
1975/12/01,18333864,17612561,35946425
1976/01/01,18333864,17612561,35946425
1976/02/01,18333864,17612561,35946425
1976/03/01,18333864,17612561,35946425
1976/04/01,18422078,17705447,36127525
1976/05/01,18422078,17705447,36127525
1976/06/01,18422078,17705447,36127525
1976/07/01,18422078,17705447,36127525
1976/08/01,18422078,17705447,36127525
1976/09/01,18422078,17705447,36127525
1976/10/01,18521877,17807322,36329199
1976/11/01,18521877,17807322,36329199
1976/12/01,18521877,17807322,36329199
1977/01/01,18521877,17807322,36329199
1977/02/01,18521877,17807322,36329199
1977/03/01,18521877,17807322,36329199
1977/04/01,18607215,17899596,36506811
1977/05/01,18607215,17899596,36506811
1977/06/01,18607215,17899596,36506811
1977/07/01,18607215,17899596,36506811
1977/08/01,18607215,17899596,36506811
1977/09/01,18607215,17899596,36506811
1977/10/01,18700859,17993218,36694077
1977/11/01,18700859,17993218,36694077
1977/12/01,18700859,17993218,36694077
1978/01/01,18700859,17993218,36694077
1978/02/01,18700859,17993218,36694077
1978/03/01,18700859,17993218,36694077
1978/04/01,18785947,18082153,36868100
1978/05/01,18785947,18082153,36868100
1978/06/01,18785947,18082153,36868100
1978/07/01,18785947,18082153,36868100
1978/08/01,18785947,18082153,36868100
1978/09/01,18785947,18082153,36868100
1978/10/01,18868438,18167281,37035719
1978/11/01,18868438,18167281,37035719
1978/12/01,18868438,18167281,37035719
1979/01/01,18868438,18167281,37035719
1979/02/01,18868438,18167281,37035719
1979/03/01,18868438,18167281,37035719
1979/04/01,18947068,18247247,37194315
1979/05/01,18947068,18247247,37194315
1979/06/01,18947068,18247247,37194315
1979/07/01,18947068,18247247,37194315
1979/08/01,18947068,18247247,37194315
1979/09/01,18947068,18247247,37194315
1979/10/01,19023427,18323513,37346940
1979/11/01,19023427,18323513,37346940
1979/12/01,19023427,18323513,37346940
1980/01/01,19023427,18323513,37346940
1980/02/01,19023427,18323513,37346940
1980/03/01,19023427,18323513,37346940
1980/04/01,19096782,18396289,37493072
1980/05/01,19096782,18396289,37493072
1980/06/01,19096782,18396289,37493072
1980/07/01,19096782,18396289,37493072
1980/08/01,19096782,18396289,37493072
1980/09/01,19096782,18396289,37493072
1980/10/01,19167940,18467449,37635389
1980/11/01,19167940,18467449,37635389
1980/12/01,19167940,18467449,37635389
1981/01/01,19167940,18467449,37635389
1981/02/01,19167940,18467449,37635389
1981/03/01,19167940,18467449,37635389
1981/04/01,19231584,18532874,37764458
1981/05/01,19231584,18532874,37764458
1981/06/01,19231584,18532874,37764458
1981/07/01,19231584,18532874,37764458
1981/08/01,19231584,18532874,37764458
1981/09/01,19231584,18532874,37764458
1981/10/01,19290449,18591423,37881873
1981/11/01,19290449,18591423,37881873
1981/12/01,19290449,18591423,37881873
1982/01/01,19290449,18591423,37881873
1982/02/01,19290449,18591423,37881873
1982/03/01,19290449,18591423,37881873
1982/04/01,19342628,18644480,37987108
1982/05/01,19342628,18644480,37987108
1982/06/01,19342628,18644480,37987108
1982/07/01,19342628,18644480,37987108
1982/08/01,19342628,18644480,37987108
1982/09/01,19342628,18644480,37987108
1982/10/01,19394759,18695393,38090151
1982/11/01,19394759,18695393,38090151
1982/12/01,19394759,18695393,38090151
1983/01/01,19394759,18695393,38090151
1983/02/01,19394759,18695393,38090151
1983/03/01,19394759,18695393,38090151
1983/04/01,19429953,18730311,38160263
1983/05/01,19429953,18730311,38160263
1983/06/01,19429953,18730311,38160263
1983/07/01,19429953,18730311,38160263
1983/08/01,19429953,18730311,38160263
1983/09/01,19429953,18730311,38160263
1983/10/01,19477809,18775089,38252899
1983/11/01,19477809,18775089,38252899
1983/12/01,19477809,18775089,38252899
1984/01/01,19477809,18775089,38252899
1984/02/01,19477809,18775089,38252899
1984/03/01,19477809,18775089,38252899
1984/04/01,19514666,18810578,38325244
1984/05/01,19514666,18810578,38325244
1984/06/01,19514666,18810578,38325244
1984/07/01,19514666,18810578,38325244
1984/08/01,19514666,18810578,38325244
1984/09/01,19514666,18810578,38325244
1984/10/01,19558571,18849258,38407829
1984/11/01,19558571,18849258,38407829
1984/12/01,19558571,18849258,38407829
1985/01/01,19558571,18849258,38407829
1985/02/01,19558571,18849258,38407829
1985/03/01,19558571,18849258,38407829
1985/04/01,19590150,18876875,38467025
1985/05/01,19590150,18876875,38467025
1985/06/01,19590150,18876875,38467025
1985/07/01,19590150,18876875,38467025
1985/08/01,19590150,18876875,38467025
1985/09/01,19590150,18876875,38467025
1985/10/01,19625072,18906124,38531195
1985/11/01,19625072,18906124,38531195
1985/12/01,19625072,18906124,38531195
1986/01/01,19625072,18906124,38531195
1986/02/01,19625072,18906124,38531195
1986/03/01,19625072,18906124,38531195
1986/04/01,19646759,18925182,38571941
1986/05/01,19646759,18925182,38571941
1986/06/01,19646759,18925182,38571941
1986/07/01,19646759,18925182,38571941
1986/08/01,19646759,18925182,38571941
1986/09/01,19646759,18925182,38571941
1986/10/01,19683096,18954956,38638052
1986/11/01,19683096,18954956,38638052
1986/12/01,19683096,18954956,38638052
1987/01/01,19683096,18954956,38638052
1987/02/01,19683096,18954956,38638052
1987/03/01,19683096,18954956,38638052
1987/04/01,19707616,18974705,38682322
1987/05/01,19707616,18974705,38682322
1987/06/01,19707616,18974705,38682322
1987/07/01,19707616,18974705,38682322
1987/08/01,19707616,18974705,38682322
1987/09/01,19707616,18974705,38682322
1987/10/01,19735868,18995710,38731578
1987/11/01,19735868,18995710,38731578
1987/12/01,19735868,18995710,38731578
1988/01/01,19735868,18995710,38731578
1988/02/01,19735868,18995710,38731578
1988/03/01,19735868,18995710,38731578
1988/04/01,19755616,19008691,38764307
1988/05/01,19755616,19008691,38764307
1988/06/01,19755616,19008691,38764307
1988/07/01,19755616,19008691,38764307
1988/08/01,19755616,19008691,38764307
1988/09/01,19755616,19008691,38764307
1988/10/01,19778621,19023679,38802300
1988/11/01,19778621,19023679,38802300
1988/12/01,19778621,19023679,38802300
1989/01/01,19778621,19023679,38802300
1989/02/01,19778621,19023679,38802300
1989/03/01,19778621,19023679,38802300
1989/04/01,19791905,19029472,38821377
1989/05/01,19791905,19029472,38821377
1989/06/01,19791905,19029472,38821377
1989/07/01,19791905,19029472,38821377
1989/08/01,19791905,19029472,38821377
1989/09/01,19791905,19029472,38821377
1989/10/01,19813442,19039785,38853227
1989/11/01,19813442,19039785,38853227
1989/12/01,19813442,19039785,38853227
1990/01/01,19813442,19039785,38853227
1990/02/01,19813442,19039785,38853227
1990/03/01,19813442,19039785,38853227
1990/04/01,19822352,19038475,38860827
1990/05/01,19822352,19038475,38860827
1990/06/01,19822352,19038475,38860827
1990/07/01,19822352,19038475,38860827
1990/08/01,19822352,19038475,38860827
1990/09/01,19822352,19038475,38860827
1990/10/01,19838598,19042818,38881416
1990/11/01,19838598,19042818,38881416
1990/12/01,19838598,19042818,38881416
1991/01/01,19838598,19042818,38881416
1991/02/01,19838598,19042818,38881416
1991/03/01,19838598,19042818,38881416
1991/04/01,19870317,19071305,38941622
1991/05/01,19870317,19071305,38941622
1991/06/01,19870317,19071305,38941622
1991/07/01,19870317,19071305,38941622
1991/08/01,19870317,19071305,38941622
1991/09/01,19870317,19071305,38941622
1991/10/01,19925307,19126029,39051336
1991/11/01,19925307,19126029,39051336
1991/12/01,19925307,19126029,39051336
1992/01/01,19925307,19126029,39051336
1992/02/01,19925307,19126029,39051336
1992/03/01,19925307,19126029,39051336
1992/04/01,19973488,19174451,39147940
1992/05/01,19973488,19174451,39147940
1992/06/01,19973488,19174451,39147940
1992/07/01,19973488,19174451,39147940
1992/08/01,19973488,19174451,39147940
1992/09/01,19973488,19174451,39147940
1992/10/01,20032646,19231389,39264034
1992/11/01,20032646,19231389,39264034
1992/12/01,20032646,19231389,39264034
1993/01/01,20032646,19231389,39264034
1993/02/01,20032646,19231389,39264034
1993/03/01,20032646,19231389,39264034
1993/04/01,20078612,19277470,39356082
1993/05/01,20078612,19277470,39356082
1993/06/01,20078612,19277470,39356082
