region,year,month,solar,temp
Castilla-La Mancha,2003,1,7.76164776494054,3.267344929727285
Castilla-La Mancha,2003,2,9.782469285137015,4.1314688253064284
Castilla-La Mancha,2003,3,15.610187408232292,9.469351784703333
Castilla-La Mancha,2003,4,19.20552702752562,11.324063868934845
Castilla-La Mancha,2003,5,24.416244685786427,17.071359719924747
Castilla-La Mancha,2003,6,26.22617387334457,24.54482679934908
Castilla-La Mancha,2003,7,27.71596818993106,25.63840224153292
Castilla-La Mancha,2003,8,23.438007996850022,26.000441099874113
Castilla-La Mancha,2003,9,17.961215432242827,19.978740094927613
Castilla-La Mancha,2003,10,10.875388364356068,12.828970215058984
Castilla-La Mancha,2003,11,7.9775611972517435,8.410555946101825
Castilla-La Mancha,2003,12,6.866739420017291,4.686887438776667
Castilla-La Mancha,2004,1,7.998669453994833,5.376247460409177
Castilla-La Mancha,2004,2,10.938366385973374,5.752288453796848
Castilla-La Mancha,2004,3,13.512256780005318,7.117673063993248
Castilla-La Mancha,2004,4,19.613472818989813,10.056583269706804
Castilla-La Mancha,2004,5,21.29708443439855,13.413399842651412
Castilla-La Mancha,2004,6,27.758396874563058,22.765263175706092
Castilla-La Mancha,2004,7,27.27830730141994,24.55029421417085
Castilla-La Mancha,2004,8,23.520728016156003,23.799243020110094
Castilla-La Mancha,2004,9,18.961345022958174,21.353140425694033
Castilla-La Mancha,2004,10,12.263841494296317,14.604460662959282
Castilla-La Mancha,2004,11,9.78378923525527,7.452725354863097
Castilla-La Mancha,2004,12,6.493343952258254,4.401905014788401
Castilla-La Mancha,2005,1,9.748605458046683,3.366721043702528
Castilla-La Mancha,2005,2,11.459041200564757,2.6133337130518526
Castilla-La Mancha,2005,3,15.971402250113245,8.34579285052851
Castilla-La Mancha,2005,4,20.818846576353188,12.15054004918058
Castilla-La Mancha,2005,5,23.79006963028253,17.945683568340264
Castilla-La Mancha,2005,6,26.574335961085772,24.360033853493896
Castilla-La Mancha,2005,7,27.91575921143486,26.01680084965061
Castilla-La Mancha,2005,8,23.920324613191866,24.64068903230425
Castilla-La Mancha,2005,9,19.099991716338447,18.919928342836354
Castilla-La Mancha,2005,10,12.740080827404647,14.406705729385658
Castilla-La Mancha,2005,11,8.36796090922562,6.663803586272472
Castilla-La Mancha,2005,12,7.358379405317242,3.8061171195147443
Castilla-La Mancha,2006,1,7.174652268739982,2.8250170341090595
Castilla-La Mancha,2006,2,10.890493366145437,4.283655664701483
Castilla-La Mancha,2006,3,15.652237891934131,9.067411708302421
Castilla-La Mancha,2006,4,20.643328073710986,13.3124306747917
Castilla-La Mancha,2006,5,23.48066393664918,18.274299857874045
Castilla-La Mancha,2006,6,26.334936253552193,22.124373320605507
Castilla-La Mancha,2006,7,26.90762282832617,26.4642878890066
Castilla-La Mancha,2006,8,25.00068320554991,23.762280043793425
Castilla-La Mancha,2006,9,17.741829189985715,20.45757202237462
Castilla-La Mancha,2006,10,12.13646467653524,15.849487719097512
Castilla-La Mancha,2006,11,7.644647967539888,10.03339907358428
Castilla-La Mancha,2006,12,7.189469565678471,4.149951466900472
Castilla-La Mancha,2007,1,7.652416591740623,4.35707559539241
Castilla-La Mancha,2007,2,9.692835134831238,6.953597853048685
Castilla-La Mancha,2007,3,16.222179723497256,7.39851606409562
Castilla-La Mancha,2007,4,16.888375526069794,10.689095103439152
Castilla-La Mancha,2007,5,23.133122709303066,15.129982204279969
Castilla-La Mancha,2007,6,26.260300417748258,19.849549359832334
Castilla-La Mancha,2007,7,28.665475537143998,24.211753619765755
Castilla-La Mancha,2007,8,23.537788462174717,23.47182771296365
Castilla-La Mancha,2007,9,18.33699088716033,19.811804917894197
Castilla-La Mancha,2007,10,13.295835383697815,13.290382535387169
Castilla-La Mancha,2007,11,10.710569172579449,7.37746320268719
Castilla-La Mancha,2007,12,7.403226568759479,4.31218551149512
Castilla-La Mancha,2008,1,8.35601951511408,5.854439612752343
Castilla-La Mancha,2008,2,10.42993352533782,6.933271801856126
Castilla-La Mancha,2008,3,16.827068405855986,8.491341008273148
Castilla-La Mancha,2008,4,20.27967474643725,12.091606781716541
Castilla-La Mancha,2008,5,19.35047440009832,14.145972189126844
Castilla-La Mancha,2008,6,25.51957305423986,19.86514491943513
Castilla-La Mancha,2008,7,28.061038824622806,23.96698838522788
Castilla-La Mancha,2008,8,24.62618678741125,24.51310966270941
Castilla-La Mancha,2008,9,17.693499507764148,18.75532659756832
Castilla-La Mancha,2008,10,11.428653204754665,13.20479114952074
Castilla-La Mancha,2008,11,9.348667739942364,5.570322162904413
Castilla-La Mancha,2008,12,6.443544951058683,3.610176481475566
Castilla-La Mancha,2009,1,7.061962042711529,3.1792053250848817
Castilla-La Mancha,2009,2,11.804800740433667,5.228435883036702
Castilla-La Mancha,2009,3,17.125374053259964,9.319818287231707
Castilla-La Mancha,2009,4,20.158695411988635,10.14640372469596
Castilla-La Mancha,2009,5,25.541527099015948,17.435495495825506
Castilla-La Mancha,2009,6,26.38496999138353,22.806202274428674
Castilla-La Mancha,2009,7,28.4192416039094,25.85236688505808
Castilla-La Mancha,2009,8,24.384307388891717,25.73925581573408
Castilla-La Mancha,2009,9,17.22976975913305,19.349933403958964
Castilla-La Mancha,2009,10,14.08445622036532,15.871617190509804
Castilla-La Mancha,2009,11,8.9189329708619,9.552283499134258
Castilla-La Mancha,2009,12,6.055904435089455,4.9520580667424365
Castilla-La Mancha,2010,1,6.544962896712842,3.240624413536929
Castilla-La Mancha,2010,2,9.440996221758526,4.324917681369777
Castilla-La Mancha,2010,3,14.322812865077854,6.771411389922874
Castilla-La Mancha,2010,4,19.70544631666116,11.728064751560245
Castilla-La Mancha,2010,5,23.75902843187259,13.880218699434465
Castilla-La Mancha,2010,6,24.538212965620637,19.666570570713922
Castilla-La Mancha,2010,7,28.045294630846772,26.14720221290684
Castilla-La Mancha,2010,8,23.92761243692014,24.887972372247365
Castilla-La Mancha,2010,9,18.51605528431363,19.557328047824555
Castilla-La Mancha,2010,10,13.719039105674602,12.629665776788217
Castilla-La Mancha,2010,11,8.70916937673078,6.424283904869757
Castilla-La Mancha,2010,12,6.695297520765036,4.574206116328828
Castilla-La Mancha,2011,1,7.531936388266659,4.096443870858606
Castilla-La Mancha,2011,2,12.142433514317855,5.96991954313306
Castilla-La Mancha,2011,3,13.386091462905137,7.453332235842611
Castilla-La Mancha,2011,4,20.33165052629865,13.998295464445484
Castilla-La Mancha,2011,5,23.291488256513407,17.148847255563805
Castilla-La Mancha,2011,6,27.07734418371068,21.33281914050963
Castilla-La Mancha,2011,7,27.713440382106985,24.151727275596024
Castilla-La Mancha,2011,8,24.38494153912744,25.136097373218675
Castilla-La Mancha,2011,9,20.110052790385186,21.140480481813242
Castilla-La Mancha,2011,10,14.49493596061375,15.80142552095962
Castilla-La Mancha,2011,11,7.592725354698479,9.43326342916042
Castilla-La Mancha,2011,12,7.781594163250233,4.83193588512292
Castilla-La Mancha,2012,1,9.27411604427008,4.302573701186036
Castilla-La Mancha,2012,2,13.644096048845956,2.598360544135855
Castilla-La Mancha,2012,3,18.104565486915117,8.674422584018883
Castilla-La Mancha,2012,4,18.089245656463444,9.817552133967256
Castilla-La Mancha,2012,5,24.998645947851674,17.765477615196744
Castilla-La Mancha,2012,6,27.50047934406159,23.207200936155026
Castilla-La Mancha,2012,7,28.714370402274916,25.016915393996296
Castilla-La Mancha,2012,8,24.588763398460422,26.028130939396636
Castilla-La Mancha,2012,9,18.015279129351566,19.82397671153875
Castilla-La Mancha,2012,10,12.734581227924474,13.758966613797469
Castilla-La Mancha,2012,11,7.416526313642633,8.087595947290641
Castilla-La Mancha,2012,12,7.287340748784719,4.770042098082783
Castilla-La Mancha,2013,1,7.921122997659843,4.075061777768407
Castilla-La Mancha,2013,2,10.550255223539812,4.095730279647406
Castilla-La Mancha,2013,3,12.960158560290727,7.239607427834424
Castilla-La Mancha,2013,4,19.50404479542452,10.395051019279919
Castilla-La Mancha,2013,5,23.11431646887152,13.095748929754814
Castilla-La Mancha,2013,6,26.949471435042007,19.42295082533787
Castilla-La Mancha,2013,7,27.304979870118295,25.410367541705625
Castilla-La Mancha,2013,8,23.67017795988751,24.941009628127947
Castilla-La Mancha,2013,9,18.84279613599382,20.554444920262313
Castilla-La Mancha,2013,10,13.425155585980226,15.217452746217802
Castilla-La Mancha,2013,11,9.214096091672628,6.605597350504879
Castilla-La Mancha,2013,12,7.854325179040923,4.281299880515264
Castilla-La Mancha,2014,1,6.789262386409852,5.3856302245262695
Castilla-La Mancha,2014,2,9.428812481297923,5.215359355062771
Castilla-La Mancha,2014,3,16.046004097311815,8.492304898333474
Castilla-La Mancha,2014,4,20.888124970221902,14.44257975930899
Castilla-La Mancha,2014,5,24.622680988665937,16.76355178897248
Castilla-La Mancha,2014,6,26.850140335774093,21.256810134017833
Castilla-La Mancha,2014,7,27.452665496790807,23.79385340469091
Castilla-La Mancha,2014,8,24.91127797167908,24.628558517428157
Castilla-La Mancha,2014,9,17.77505796984105,20.599261162007867
Castilla-La Mancha,2014,10,13.329526402317128,16.416009270874124
Castilla-La Mancha,2014,11,7.753664336414796,9.38406297143809
Castilla-La Mancha,2014,12,7.91930288160827,4.485234962950847
Castilla-La Mancha,2015,1,9.368438191678392,3.876284374101269
Castilla-La Mancha,2015,2,10.553676084219411,3.9648643955220626
Castilla-La Mancha,2015,3,15.751569787829219,9.376091519809389
Castilla-La Mancha,2015,4,20.10979305362092,12.509227719310179
Castilla-La Mancha,2015,5,25.99852427037258,18.60696191946308
Castilla-La Mancha,2015,6,26.629781412803194,22.5875218076983
Castilla-La Mancha,2015,7,27.500822749874185,28.245189519294154
Castilla-La Mancha,2015,8,22.857035693684775,24.870902320866897
Castilla-La Mancha,2015,9,18.131939749935945,18.69581969879751
Castilla-La Mancha,2015,10,11.859305149545644,14.298225750084464
Castilla-La Mancha,2015,11,10.099698126361424,10.087898899368373
Castilla-La Mancha,2015,12,7.57380703507349,8.171910474611252
Castilla-La Mancha,2016,1,6.898469790943784,6.552014505710947
Castilla-La Mancha,2016,2,10.60734412950367,6.101966470317466
Castilla-La Mancha,2016,3,16.05155777991376,6.975545293168845
Castilla-La Mancha,2016,4,19.168646873818627,10.69992548702232
Castilla-La Mancha,2016,5,22.555783644340124,14.619695249866794
Castilla-La Mancha,2016,6,27.95595415086478,21.950250413395892
Castilla-La Mancha,2016,7,27.396872120592523,26.486859768912673
Castilla-La Mancha,2016,8,25.215314893237764,25.55110436675649
Castilla-La Mancha,2016,9,19.106901067265383,21.366919958552717
Castilla-La Mancha,2016,10,12.510520736947354,15.893454829514752
Castilla-La Mancha,2016,11,8.247997301592902,7.933124878465885
Castilla-La Mancha,2016,12,7.048043010403252,6.22355424393266
Castilla-La Mancha,2017,1,8.35798975030425,3.234812940358904
Castilla-La Mancha,2017,2,10.451456495066502,6.70631273522142
Castilla-La Mancha,2017,3,16.857615340709085,9.539549423046529
Castilla-La Mancha,2017,4,22.376167158096163,13.079280629809917
Castilla-La Mancha,2017,5,24.64109824111338,18.115623553139603
Castilla-La Mancha,2017,6,27.2213119455926,24.700457729273037
Castilla-La Mancha,2017,7,27.7174313449688,25.612486641958363
Castilla-La Mancha,2017,8,23.327601414099917,25.39252782582914
Castilla-La Mancha,2017,9,19.796217022220613,19.962893246357076
Castilla-La Mancha,2017,10,14.901961445349011,17.17645593813764
Castilla-La Mancha,2017,11,10.341196887090762,8.567358302922196
Castilla-La Mancha,2017,12,7.334330179521609,4.510699296289042
Castilla-La Mancha,2018,1,8.232667616329591,4.889676419058603
Castilla-La Mancha,2018,2,10.654153201715674,3.710193323986369
Castilla-La Mancha,2018,3,13.996386494903803,6.802939002169392
Castilla-La Mancha,2018,4,18.461787913204684,10.988754519632122
Castilla-La Mancha,2018,5,22.37997678942751,14.834355099955054
Castilla-La Mancha,2018,6,25.31330961706867,20.305391842674727
Castilla-La Mancha,2018,7,28.606810901200014,24.512273865397972
Castilla-La Mancha,2018,8,24.062689604952705,26.081810410277008
Castilla-La Mancha,2018,9,18.738384780152547,21.896178989048334
Castilla-La Mancha,2018,10,12.432996703672432,13.891485985692492
Castilla-La Mancha,2018,11,7.823934879299382,8.48181294809816
Castilla-La Mancha,2018,12,7.762074472438225,6.628292400200291
Castilla-La Mancha,2019,1,9.276854420410519,3.8774300657332557
Castilla-La Mancha,2019,2,14.108354167640496,7.061697226466895
Castilla-La Mancha,2019,3,18.778219545890323,9.794538844392026
Castilla-La Mancha,2019,4,17.845799277205977,10.534201912932682
Castilla-La Mancha,2019,5,25.759199755453395,16.87130533135679
Castilla-La Mancha,2019,6,28.53304508726331,21.8542497551593
Castilla-La Mancha,2019,7,26.86714364318081,26.35082499600607
Castilla-La Mancha,2019,8,24.06975354280675,25.14841038532353
Castilla-La Mancha,2019,9,17.983175200138838,20.0731292788738
Castilla-La Mancha,2019,10,13.485489877866005,15.392036564975704
Castilla-La Mancha,2019,11,8.01831751488609,7.786004394925143
Castilla-La Mancha,2019,12,6.613858282132596,7.190206224841822
Castilla-La Mancha,2020,1,7.523523699335514,5.054297718851976
Castilla-La Mancha,2020,2,12.420454491989988,9.045398378552854
Castilla-La Mancha,2020,3,13.624112467929315,9.360643510516416
Castilla-La Mancha,2020,4,16.888188451659197,11.869753343905558
