region,year,month,solar,temp
Castilla y León,2003,1,6.1148337397596375,2.1034929719851005
Castilla y León,2003,2,8.253939539622838,2.698128435451453
Castilla y León,2003,3,14.15236560043193,7.842500135862695
Castilla y León,2003,4,17.547952584110163,8.818991128677546
Castilla y León,2003,5,23.28619153414253,13.257991244274372
Castilla y León,2003,6,23.9345889588077,20.086874892666593
Castilla y León,2003,7,25.313218923901296,20.74323368825344
Castilla y León,2003,8,20.580694736300885,23.41639190753262
Castilla y León,2003,9,16.740678436545284,17.19487379948639
Castilla y León,2003,10,9.646143849811143,10.039188343136665
Castilla y León,2003,11,6.728457176756835,6.963960807582122
Castilla y León,2003,12,5.051813922671275,3.4051272623055144
Castilla y León,2004,1,5.591573984203882,4.38132572750321
Castilla y León,2004,2,9.747932460399596,3.521073320099026
Castilla y León,2004,3,13.040718146650974,4.920433464328225
Castilla y León,2004,4,18.48889135719285,7.751412114720516
Castilla y León,2004,5,21.095754284407825,11.736978619457734
Castilla y León,2004,6,26.011903103805338,19.64697780580883
Castilla y León,2004,7,24.989114769938535,20.385936291505523
Castilla y León,2004,8,21.03156128957411,19.50474821820237
Castilla y León,2004,9,17.227792972509075,17.43951001236896
Castilla y León,2004,10,10.151610472722545,11.780036209048038
Castilla y León,2004,11,7.415646007332247,5.741631693657555
Castilla y León,2004,12,5.253843100934389,3.029365504088092
Castilla y León,2005,1,6.779192719738712,2.0584271462449717
Castilla y León,2005,2,9.926557419565793,0.9017168523564393
Castilla y León,2005,3,14.8015791634394,6.187799972932876
Castilla y León,2005,4,17.58305585142649,9.51090447552703
Castilla y León,2005,5,22.460217545925325,14.241158011814811
Castilla y León,2005,6,25.92253530726338,20.724529829632605
Castilla y León,2005,7,26.57402231508541,21.415838775353855
Castilla y León,2005,8,22.959954263740247,20.947184279659897
Castilla y León,2005,9,18.066685861368057,16.616493543186643
Castilla y León,2005,10,10.920484552345611,12.050367882257856
Castilla y León,2005,11,6.7827050953279295,4.98150712104263
Castilla y León,2005,12,5.958346790403824,2.3711802100446273
Castilla y León,2006,1,6.199860993533441,1.543190908120597
Castilla y León,2006,2,9.67252189291323,2.334714473515485
Castilla y León,2006,3,13.006726513596568,7.170808184696097
Castilla y León,2006,4,19.308010282127523,10.129123780091197
Castilla y León,2006,5,23.562850638574425,14.695280036744688
Castilla y León,2006,6,24.3995162593846,19.32858339317534
Castilla y León,2006,7,24.33571864895006,22.908391316760614
Castilla y León,2006,8,22.930819102440594,19.272272802031086
Castilla y León,2006,9,16.071800617515642,18.17639122394171
Castilla y León,2006,10,10.3334033675686,13.363244671340867
Castilla y León,2006,11,6.96332865366237,8.729170502368019
Castilla y León,2006,12,5.643761344616412,2.9863417840541984
Castilla y León,2007,1,5.9656622900658975,3.262716284252477
Castilla y León,2007,2,8.594511511050943,5.239230006884624
Castilla y León,2007,3,13.590921394874316,5.632663505748825
Castilla y León,2007,4,16.858402436175126,9.69216353076017
Castilla y León,2007,5,20.497936918071126,12.35057034854713
Castilla y León,2007,6,23.92244520940296,15.697760626854613
Castilla y León,2007,7,26.08449327682163,19.146464684732848
Castilla y León,2007,8,21.312588124440715,18.58005264417648
Castilla y León,2007,9,17.820681088448417,16.237073992170362
Castilla y León,2007,10,11.828013954897107,11.431996634236766
Castilla y León,2007,11,8.67631230582049,5.344421294698515
Castilla y León,2007,12,6.067231800475783,2.738456574767664
Castilla y León,2008,1,6.6352377409547625,4.736559191663255
Castilla y León,2008,2,10.039900246595295,5.644418919662764
Castilla y León,2008,3,14.02352354504045,6.0632142576225165
Castilla y León,2008,4,18.30037369366401,9.45378675964445
Castilla y León,2008,5,18.407852465113372,11.840097830210539
Castilla y León,2008,6,23.689680532456492,16.70879003955408
Castilla y León,2008,7,25.911038765264454,19.524886522921776
Castilla y León,2008,8,22.867004903544007,20.08753809987738
Castilla y León,2008,9,16.999810139920626,15.406236701637866
Castilla y León,2008,10,10.969800943518003,10.607968789498683
Castilla y León,2008,11,6.525948092997537,4.450435824969819
Castilla y León,2008,12,5.2754331493903965,2.727198542625636
Castilla y León,2009,1,5.645973515324715,2.034557799140625
Castilla y León,2009,2,10.804039004280861,3.5644389488669628
Castilla y León,2009,3,16.535279617563752,7.2824397740355185
Castilla y León,2009,4,18.606233304931315,7.826261287738565
Castilla y León,2009,5,23.689244397373475,14.268659659346882
Castilla y León,2009,6,24.18042509989259,18.47239023899981
Castilla y León,2009,7,26.429288825756935,20.651174204197442
Castilla y León,2009,8,22.146412505146266,21.730065069078954
Castilla y León,2009,9,17.340171909658302,17.068515321698992
Castilla y León,2009,10,11.943832868490263,13.222866309524296
Castilla y León,2009,11,6.613379546942211,7.546872628789562
Castilla y León,2009,12,4.9135310292517556,2.945959434871764
Castilla y León,2010,1,5.516469106420453,1.854213070119084
Castilla y León,2010,2,8.156451726118826,2.380963762216398
Castilla y León,2010,3,12.690888749625234,4.9171440420437795
Castilla y León,2010,4,19.36833222991792,10.036506955902073
Castilla y León,2010,5,21.549356609586322,11.400029829440708
Castilla y León,2010,6,22.639131015336048,16.177168615276887
Castilla y León,2010,7,26.325896200931634,21.628967516136967
Castilla y León,2010,8,23.181139337480477,20.888199322548168
Castilla y León,2010,9,16.952402428696296,16.85205246575204
Castilla y León,2010,10,11.439234379940153,10.520604783460238
Castilla y León,2010,11,7.0431890908531445,5.163393422249804
Castilla y León,2010,12,5.524197473196609,2.3769673644930696
Castilla y León,2011,1,5.91334957723893,2.7242139982729614
Castilla y León,2011,2,9.920858459852889,4.414269345380257
Castilla y León,2011,3,12.961678375887947,5.954737540630662
Castilla y León,2011,4,19.418115461020832,12.084559098099966
Castilla y León,2011,5,22.153132542773452,15.001142618704868
Castilla y León,2011,6,24.979664465537446,17.20878896198794
Castilla y León,2011,7,25.465803777336607,18.769965646472357
Castilla y León,2011,8,22.026063916012507,20.686633534724997
Castilla y León,2011,9,18.128011890265682,18.380431107424066
Castilla y León,2011,10,13.24827563150193,13.644584691546639
Castilla y León,2011,11,6.583221328845096,7.759729157441531
Castilla y León,2011,12,6.033171662360408,3.9123152371421566
Castilla y León,2012,1,6.887156377800306,3.35357387746571
Castilla y León,2012,2,10.802122851695435,1.6640000354677436
