region,year,month,solar,temp
Ciudad de Ceuta,2003,1,10.18,13.245202190723807
Ciudad de Ceuta,2003,2,11.330000000000002,13.11014065441656
Ciudad de Ceuta,2003,3,14.56,14.825026372703107
Ciudad de Ceuta,2003,4,20.880000000000003,15.926695969670117
Ciudad de Ceuta,2003,5,25.77,18.544938463692755
Ciudad de Ceuta,2003,6,27.4,21.486608060659766
Ciudad de Ceuta,2003,7,27.59,23.36994725459379
Ciudad de Ceuta,2003,8,25.03,24.47326886672574
Ciudad de Ceuta,2003,9,20.22,22.05163443336287
Ciudad de Ceuta,2003,10,11.17,19.45170476057115
Ciudad de Ceuta,2003,11,9.74,16.483444684746445
Ciudad de Ceuta,2003,12,8.05,14.330158236218631
Ciudad de Ceuta,2004,1,10.67,14.110193399822771
Ciudad de Ceuta,2004,2,10.53,14.211739924175292
Ciudad de Ceuta,2004,3,15.65,14.480087909010349
Ciudad de Ceuta,2004,4,22.53,15.616713551472184
Ciudad de Ceuta,2004,5,22.87,17.1316168515608
Ciudad de Ceuta,2004,6,28.4,21.6348505546824
Ciudad de Ceuta,2004,7,27.38,23.661441033540097
Ciudad de Ceuta,2004,8,24.42,24.20488571828654
Ciudad de Ceuta,2004,9,19.24,22.343304030329882
Ciudad de Ceuta,2004,10,13.84,19.96001758180207
Ciudad de Ceuta,2004,11,10.18,16.391739924175294
Ciudad de Ceuta,2004,12,8.69,13.876836624086678
Ciudad de Ceuta,2005,1,10.6,12.801845414987712
Ciudad de Ceuta,2005,2,13.29,12.481810251383573
Ciudad de Ceuta,2005,3,14.84,14.155026372703107
Ciudad de Ceuta,2005,4,23.46,15.923356775736092
Ciudad de Ceuta,2005,5,25.49,18.946625642461832
Ciudad de Ceuta,2005,6,27.88,21.563233703121604
Ciudad de Ceuta,2005,7,27.81,23.5232337031216
Ciudad de Ceuta,2005,8,24.66,23.443216121319534
Ciudad de Ceuta,2005,9,20.29,21.588330403032987
Ciudad de Ceuta,2005,10,13.879999999999999,19.56332161213195
Ciudad de Ceuta,2005,11,10.4,15.86008790901035
Ciudad de Ceuta,2005,12,8.11,14.5017926695815
Ciudad de Ceuta,2006,1,8.6,12.780193399822771
Ciudad de Ceuta,2006,2,12.63,12.931792669581501
Ciudad de Ceuta,2006,3,17.56,14.460123072614492
Ciudad de Ceuta,2006,4,20.880000000000003,16.713339193934026
Ciudad de Ceuta,2006,5,22.08,18.618260075824708
Ciudad de Ceuta,2006,6,26.479999999999997,20.711581687956663
Ciudad de Ceuta,2006,7,26.820000000000004,23.864832972880333
Ciudad de Ceuta,2006,8,25.18,23.888242494022638
Ciudad de Ceuta,2006,9,19.78,22.308277657626775
Ciudad de Ceuta,2006,10,12.96,20.679947254593788
Ciudad de Ceuta,2006,11,9.48,17.80673113327426
Ciudad de Ceuta,2006,12,8.83,14.185184608921734
Ciudad de Ceuta,2007,1,9.93,13.321862996789784
Ciudad de Ceuta,2007,2,12.020000000000001,14.370140654416561
Ciudad de Ceuta,2007,3,18.8,14.285149445317595
Ciudad de Ceuta,2007,4,18.13,15.428347984835058
Ciudad de Ceuta,2007,5,25.3,17.903321612131954
Ciudad de Ceuta,2007,6,28.69,20.099912090989648
Ciudad de Ceuta,2007,7,28.82,22.868207330418496
Ciudad de Ceuta,2007,8,23.349999999999998,23.11330403032988
