region,year,month,solar,temp
País Vasco,2003,1,4.56975419253422,5.302511619836541
País Vasco,2003,2,6.8795101682677435,5.230146667456599
País Vasco,2003,3,14.285900144552766,10.20559480980002
País Vasco,2003,4,16.59362743887369,11.31121903001352
País Vasco,2003,5,19.898728381873088,13.750905308584377
País Vasco,2003,6,20.004249738749436,20.072959878801807
País Vasco,2003,7,21.833743183151775,19.765185472977524
País Vasco,2003,8,19.233445091276657,23.23376094943188
País Vasco,2003,9,14.446493179794897,17.87222976201227
País Vasco,2003,10,8.437106547251185,12.475083160369666
País Vasco,2003,11,6.430619382806279,9.993502699563152
País Vasco,2003,12,4.660041258470684,6.709206976433479
País Vasco,2004,1,4.205326930403571,6.976948362746627
País Vasco,2004,2,8.820421952286976,5.696168452833791
País Vasco,2004,3,12.00516439679612,6.8568631764834365
País Vasco,2004,4,16.257485704716906,9.112977462041563
País Vasco,2004,5,20.15113198144001,12.751167113901266
País Vasco,2004,6,22.243940456001614,18.210911823188177
País Vasco,2004,7,21.08773111371486,18.46730408581581
País Vasco,2004,8,18.485525472229874,20.00736252836833
País Vasco,2004,9,14.436043132622586,17.92678278023893
País Vasco,2004,10,9.622733381396872,14.502173829891019
País Vasco,2004,11,6.043397097434435,8.39121016164014
País Vasco,2004,12,3.8304447764556566,6.480832271928797
País Vasco,2005,1,5.9187673941849885,5.290241315052687
País Vasco,2005,2,7.877097507318463,3.448958726613932
País Vasco,2005,3,14.039629384721275,8.297003126008024
País Vasco,2005,4,15.540220492363067,10.811434268153908
País Vasco,2005,5,20.947690159478004,14.5412751642128
País Vasco,2005,6,21.906199456268638,19.17820443277546
País Vasco,2005,7,22.617154542089047,19.817470596198014
País Vasco,2005,8,19.9555527590496,19.181873072306136
País Vasco,2005,9,15.597087723748041,16.975748063651903
País Vasco,2005,10,10.10296688567648,15.007570574175324
País Vasco,2005,11,5.879646042984685,8.185920467081354
País Vasco,2005,12,4.381198546764023,4.74483433528711
País Vasco,2006,1,5.128339434740054,4.657663457947119
País Vasco,2006,2,7.2146822683013205,4.497132303770716
País Vasco,2006,3,11.961038951661651,9.62663340716535
País Vasco,2006,4,16.471675988308192,10.886034268782058
País Vasco,2006,5,20.648791842783996,14.587983721354906
País Vasco,2006,6,21.762178882206236,18.342923684480976
País Vasco,2006,7,20.93913427505111,21.778988322658165
País Vasco,2006,8,18.88287379143452,18.268315386133228
País Vasco,2006,9,14.574261587132474,19.10603859862486
País Vasco,2006,10,9.460818675430996,16.16593005664524
País Vasco,2006,11,6.789143272002359,11.446115964899393
País Vasco,2006,12,4.700081772286367,6.068717046571391
País Vasco,2007,1,5.08978913243838,6.23737738014644
País Vasco,2007,2,7.666229342591832,8.282426633198888
País Vasco,2007,3,10.810355444255025,7.6783170570019985
País Vasco,2007,4,15.027800698602551,11.859855483510808
País Vasco,2007,5,16.764110282231428,13.555009292037822
País Vasco,2007,6,20.662930061189137,16.73044202781296
País Vasco,2007,7,20.983455244554175,18.256107023677803
País Vasco,2007,8,17.80107793530586,18.18893187441648
País Vasco,2007,9,15.730636040052387,15.861346211152647
País Vasco,2007,10,9.747033800576121,12.801938795845528
País Vasco,2007,11,6.4155901243711995,7.10674503314598
País Vasco,2007,12,5.174018299282446,5.734413855263759
País Vasco,2008,1,5.377865798254377,7.136470665381059
País Vasco,2008,2,9.880273829684645,8.33069973989943
País Vasco,2008,3,10.738421207026422,8.056755434068386
País Vasco,2008,4,17.368622067760185,10.564258063958931
País Vasco,2008,5,19.30066064128779,13.817680541460248
País Vasco,2008,6,21.063427165078934,16.12813672114287
País Vasco,2008,7,21.52869500186428,18.07951376525756
País Vasco,2008,8,18.683548064307846,18.550265343398497
País Vasco,2008,9,14.48362044946785,16.1016153852845
País Vasco,2008,10,9.29567560132463,12.351552157499125
País Vasco,2008,11,4.8707620308571915,7.69271057325411
País Vasco,2008,12,4.244422734991151,5.8127548377105125
País Vasco,2009,1,4.481421544396565,4.809527378477047
País Vasco,2009,2,9.094383642802358,5.5869028633285716
País Vasco,2009,3,14.673988702846808,7.74484919621523
País Vasco,2009,4,15.615785499273196,9.353695361338136
País Vasco,2009,5,19.682130021799765,14.077715697115437
País Vasco,2009,6,23.140106784243923,17.57995595673858
País Vasco,2009,7,21.799148087943934,19.04271619236111
País Vasco,2009,8,17.666388446091883,19.68492807421791
País Vasco,2009,9,14.866484904971173,16.901054894462256
País Vasco,2009,10,10.539115321493203,14.185993623748447
País Vasco,2009,11,5.381387766994579,10.080461024315005
País Vasco,2009,12,4.0869339770454856,5.53245273688548
País Vasco,2010,1,4.354338817943901,4.462748407088791
País Vasco,2010,2,7.768035126749299,4.807736841509904
País Vasco,2010,3,12.316332529753327,7.284702504267729
País Vasco,2010,4,18.859402380279793,11.244765953692928
País Vasco,2010,5,19.138557516067646,12.177283121992964
País Vasco,2010,6,20.766006690161657,15.752097487347077
País Vasco,2010,7,21.051599971183283,19.273840319153628
País Vasco,2010,8,19.265451527210214,18.92361976011207
País Vasco,2010,9,15.51685793847094,16.861356691662692
País Vasco,2010,10,9.496871750357293,12.731968886852181
País Vasco,2010,11,5.259851293585127,8.09312427729508
País Vasco,2010,12,4.7616143105608995,4.630816338304476
País Vasco,2011,1,5.020594781581706,5.3173168820686865
País Vasco,2011,2,8.537995789771234,7.2612454096174
País Vasco,2011,3,12.45545371500992,8.411573537377318
País Vasco,2011,4,18.200656915124576,13.052475931296827
País Vasco,2011,5,20.954965443219532,15.178824901592698
País Vasco,2011,6,21.029086079458434,16.293553952995403
País Vasco,2011,7,20.168428427906584,17.09163357650615
País Vasco,2011,8,18.995758789094477,19.516703941684927
País Vasco,2011,9,15.51643169667303,18.61923519574515
País Vasco,2011,10,10.996519902213914,14.47976304508585
País Vasco,2011,11,6.4898094943515545,11.21594885441325
País Vasco,2011,12,4.3711382988821725,7.512868940182334
País Vasco,2012,1,5.320605901765189,6.363415681978886
País Vasco,2012,2,8.292176751802462,3.2722788083135654
País Vasco,2012,3,15.201953608680205,9.271468401712232
País Vasco,2012,4,12.49057480992266,8.444940282591897
País Vasco,2012,5,20.480710396811503,14.296198515500327
País Vasco,2012,6,20.97878561743417,17.526055439181455
País Vasco,2012,7,22.012023815239004,17.925920967980318
País Vasco,2012,8,19.173893384937852,20.76832422639
País Vasco,2012,9,14.845914672401568,17.56844528488406
País Vasco,2012,10,9.366781364188244,13.830142023385731
País Vasco,2012,11,6.22669516618194,8.955980070878242
País Vasco,2012,12,4.685472293677273,7.109945556914731
País Vasco,2013,1,4.773036519689056,6.264824670020225
País Vasco,2013,2,7.364844441482384,5.2568893920384525
País Vasco,2013,3,12.18473227073111,7.980741120679331
