,pref,pref_id,loss_from_2019,final_date_month,state_of_emergency,second,cases_per_population,deaths_per_population,average_temperature,unemployment_rate_percent,over_age65_population,population_2019,area_ha,population_per_density_per_ha,cases_lag,deaths_lag
1,北海道,1,0.9335,2020/2/29,0,0,1.31428571428571,0.0380952380952381,-2.1,2.5,1673000,5250000,7842133,1,NA,NA
2,青森県,2,1.0669,2020/2/29,0,0,0,0,1.2,3.1,415000,1246000,964564,1,NA,NA
3,岩手県,3,0.9441,2020/2/29,0,0,0,0,1,2.3,406000,1227000,1527501,1,NA,NA
4,宮城県,4,0.9146,2020/2/29,0,0,0.0433651344319167,0,4.4,2.8,652000,2306000,728229,3,NA,NA
5,秋田県,5,0.9474,2020/2/29,0,0,0,0,2.5,3.3,359000,966000,1163752,1,NA,NA
6,山形県,6,0.8883,2020/2/29,0,0,0,0,2.5,2.3,360000,1078000,932315,1,NA,NA
7,福島県,7,0.9046,2020/2/29,0,0,0,0,4.5,2.3,582000,1846000,1378390,1,NA,NA
8,茨城県,8,0.8962,2020/2/29,0,0,0,0,6.2,2.3,843000,2860000,609739,5,NA,NA
9,栃木県,9,0.982,2020/2/29,0,1,0.0517063081695967,0,5.8,2.1,554000,1934000,640809,3,NA,NA
10,群馬県,10,0.9565,2020/2/29,0,0,0,0,6.6,2.3,580000,1942000,636228,3,NA,NA
11,埼玉県,11,1.0777,2020/2/29,0,1,0.0136054421768707,0,7.2,2.5,1961000,7350000,379775,19,NA,NA
12,千葉県,12,1.0589,2020/2/29,0,1,0.191723917558715,0,8.9,2.2,1743000,6259000,515760,12,NA,NA
13,東京都,13,0.8873,2020/2/29,0,1,0.244235327921845,0.00718339199770131,8.3,2.6,3209000,13921000,219407,63,NA,NA
14,神奈川県,14,1.0093,2020/2/29,0,1,0.228310502283105,0.0108719286801479,8.9,2.1,2329000,9198000,241630,38,NA,NA
15,山梨県,19,0.8715,2020/2/29,0,0,0,0,6.4,1.4,250000,811000,446527,2,NA,NA
16,新潟県,15,1.013,2020/2/29,0,0,0.0449842555105713,0,5,2.4,720000,2223000,1258424,2,NA,NA
17,富山県,16,0.9321,2020/2/29,0,0,0,0,5.5,1.8,337000,1044000,424759,2,NA,NA
