,country_name,year,v2x_polyarchy,v2mecenefm,v2exl_legitideol,v2cvgovres_0,v2cvgovres_1,v2cvgovres_2,v2cvgovres_3,v2cvgovres_4,v2cvgovres_5,v2cvgovres_6,v2cvgovres_nr
1,Mexico,2019,0.671,0.109,-0.385,NA,NA,NA,NA,NA,NA,NA,NA
2,Suriname,2019,0.766,1.089,-0.033,NA,NA,NA,NA,NA,NA,NA,NA
3,Sweden,2019,0.901,3.383,-2.155,NA,NA,NA,NA,NA,NA,NA,NA
4,Switzerland,2019,0.896,3.059,-2.752,NA,NA,NA,NA,NA,NA,NA,NA
5,Ghana,2019,0.699,2.106,-1.017,NA,NA,NA,NA,NA,NA,NA,NA
6,South Africa,2019,0.714,0.927,0.026,NA,NA,NA,NA,NA,NA,NA,NA
7,Japan,2019,0.823,1.192,-0.295,NA,NA,NA,NA,NA,NA,NA,NA
8,Burma/Myanmar,2019,0.433,1.125,0.105,NA,NA,NA,NA,NA,NA,NA,NA
9,Russia,2019,0.266,-1.313,0.703,NA,NA,NA,NA,NA,NA,NA,NA
10,Albania,2019,0.494,0.049,-0.492,NA,NA,NA,NA,NA,NA,NA,NA
11,Egypt,2019,0.18,-1.372,0.29,NA,NA,NA,NA,NA,NA,NA,NA
12,Yemen,2019,0.116,-2.174,1.745,NA,NA,NA,NA,NA,NA,NA,NA
13,Colombia,2019,0.628,1.1,1.342,NA,NA,NA,NA,NA,NA,NA,NA
14,Poland,2019,0.684,0.414,0.476,NA,NA,NA,NA,NA,NA,NA,NA
15,Brazil,2019,0.693,0.44,1.174,NA,NA,NA,NA,NA,NA,NA,NA
16,United States of America,2019,0.816,1.741,1.48,NA,NA,NA,NA,NA,NA,NA,NA
17,Portugal,2019,0.887,3.21,-2.471,NA,NA,NA,NA,NA,NA,NA,NA
18,El Salvador,2019,0.644,0.343,-0.82,NA,NA,NA,NA,NA,NA,NA,NA
19,Bangladesh,2019,0.261,0.486,1.462,NA,NA,NA,NA,NA,NA,NA,NA
